company,source,date,rating,review_text_summary,theme_code,funnel_stage,sentiment,evidence_strength,source_reference,notes
"Talkspace Psychiatry","Trustpilot","2026-06-15","4","Paraphrase: User says the app has audio and visual issues but has been useful for therapy for over a year and allows visits as soon as the next day.","technical_issue;care_quality;appointment_access;telehealth_experience","activation;retention","mixed","High","https://www.trustpilot.com/review/talkspace.com","Specific positive care experience with technical friction."
"Talkspace Psychiatry","Trustpilot","2026-06-15","4","Paraphrase: User says therapist is informed, goal-focused, and asks for input, but app menus are hard to navigate for non-therapy questions.","provider_quality;app_navigation;care_quality","retention;support","mixed","High","https://www.trustpilot.com/review/talkspace.com","Supports strong provider quality but weaker self-serve navigation."
"Talkspace Psychiatry","Trustpilot","2026-06-14","4","Paraphrase: User says online therapy is helpful but video/audio technology and steps such as EAP credits and choosing a therapist can be cumbersome.","technical_issue;eap_coverage;provider_selection;user_experience","activation;support","mixed","High","https://www.trustpilot.com/review/talkspace.com","Useful for workflow friction around app setup and employer coverage."
"Talkspace Psychiatry","Trustpilot","2026-06-21","5","Paraphrase: User found Talkspace through an ad, found a good therapist covered by insurance, and built rapport through telehealth visits.","provider_quality;insurance;telehealth_experience;care_quality","acquisition;retention","positive","Medium","https://www.trustpilot.com/review/talkspace.com","Supports insurance-covered care and provider rapport."
"Talkspace Psychiatry","Trustpilot","2026-06-22","5","Paraphrase: User says finding the right person to talk to and relate to has been the biggest help.","provider_quality;care_quality;patient_trust","retention","positive","Medium","https://www.trustpilot.com/review/talkspace.com","Short but useful provider-fit evidence."
"Talkspace Psychiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Survey found most users completed sign-up in 10 to 20 minutes, but about one-third felt questionnaires were too long and about one-third found some questions unclear.","questionnaire_length;question_clarity;intake","activation","mixed","High","https://www.helpguide.org/mental-health/treatment/talkspace-review","Strong survey-backed intake friction evidence."
"Talkspace Psychiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Review found Talkspace accepted insurance, but psychiatry insurance verification was more complicated in testing, causing tester to pay out of pocket instead.","insurance_verification;pricing;out_of_pocket","revenue;activation","negative","High","https://www.helpguide.org/mental-health/treatment/talkspace-review","Important for cost trust and coverage verification comparison."
"Talkspace Psychiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Survey found high satisfaction among therapy and psychiatry users, and most psychiatry users reported progress toward their goals.","provider_quality;care_quality;treatment_progress","retention","positive","High","https://www.helpguide.org/mental-health/treatment/talkspace-review","Supports strong care quality after users reach provider."
"Talkiatry","Trustpilot","2026-04-29","2","Paraphrase: Reviewer says provider was excellent but billing felt misleading, with expected small copay turning into a much larger bill.","provider_quality;surprise_charges;billing;insurance_expectation","revenue;retention","negative","High","https://www.trustpilot.com/review/talkiatry.com","Strong split signal: provider good, billing trust weak."
"Talkiatry","Trustpilot","2026-06-06","3","Paraphrase: Reviewer says Talkiatry is a good concept but psychiatrist is often late and affordability depends heavily on insurance.","provider_lateness;appointment_reliability;insurance;pricing","activation;retention;revenue","mixed","High","https://www.trustpilot.com/review/talkiatry.com","Relevant to appointment reliability and insurance dependence."
"Talkiatry","Trustpilot","2026-04-30","1","Paraphrase: Reviewer says first appointment was cancelled one hour before, then rescheduled provider did not show up, and customer service interaction was poor.","appointment_cancellation;no_show;support_response;appointment_reliability","activation;support","negative","High","https://www.trustpilot.com/review/talkiatry.com","Strong operational reliability concern."
"Talkiatry","Trustpilot","2026-03-09","1","Paraphrase: Reviewer says online care did not meet their needs because they ultimately needed in-person psychiatry support.","care_fit;clinical_limitations;expectation_mismatch","activation;retention","negative","Medium","https://www.trustpilot.com/review/talkiatry.com","Useful for care-scope and expectation-setting issues."
"Talkiatry","Trustpilot summary","2026","Not rated","Paraphrase: Review summary says many reviewers report unexpected bills, hard-to-reach support, cancelled appointments, clinician lateness, and abrupt sessions, while some praise compassionate providers.","billing;support_response;appointment_reliability;provider_quality","revenue;support;retention","mixed","High","https://www.trustpilot.com/review/talkiatry.com","Directional aggregate evidence from Trustpilot review summary."
"Talkiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Tester found platform easy to navigate, customer support responsive within 24 hours, and insurance verification quick and easy.","ease_of_use;support_response;insurance_verification","activation;support","positive","High","https://www.helpguide.org/mental-health/treatment/talkiatry-review","Contrasts with negative Trustpilot support/billing reviews. Shows mixed evidence."
"Talkiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Tester had a positive psychiatrist experience with thorough medication explanation, but the provider was late to start the first session.","provider_quality;provider_lateness;medication_explanation","retention","mixed","High","https://www.helpguide.org/mental-health/treatment/talkiatry-review","Provider quality strong, appointment punctuality weaker."
"Talkiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Survey found wait times can be long, with many users waiting four days to two weeks for initial appointments.","appointment_access;wait_time","activation","negative","High","https://www.helpguide.org/mental-health/treatment/talkiatry-review","Direct benchmark against Legion's earlier slot visibility."
"Talkiatry","HelpGuide","2026-03-06","Not rated","Paraphrase: Survey found some users experienced surprise charges, suggesting upfront cost communication could improve.","surprise_charges;pricing;billing_transparency","revenue","negative","High","https://www.helpguide.org/mental-health/treatment/talkiatry-review","Important for cost transparency comparison."
"Brightside Health","Trustpilot","2026-03-10","4","Paraphrase: Reviewer loves therapy, but says medical appointments and prescription-related experience can feel less smooth.","therapy_quality;psychiatry_quality;prescription_experience","retention","mixed","Medium","https://www.trustpilot.com/review/brightside.com","Brightside therapy strength, psychiatry friction."
"Brightside Health","Trustpilot","2026-05-12","4","Paraphrase: Reviewer used psychiatry and therapy for months and felt medication side was lacking compared with therapy.","therapy_quality;psychiatry_quality;medication_management","retention","mixed","Medium","https://www.trustpilot.com/review/brightside.com","Supports possible gap between therapy and psychiatry experience."
"Brightside Health","Trustpilot","2026-06","4","Paraphrase: Reviewer liked therapy and counselor but needed medication and therapy together, and looked elsewhere when Brightside could not meet that need.","therapy_quality;integrated_care;medication_access","retention;activation","mixed","High","https://www.trustpilot.com/review/brightside.com","Relevant to integrated therapy and psychiatry packaging."
"Brightside Health","Trustpilot","2026-06","5","Paraphrase: Reviewer says therapist and psychiatric nurse practitioner are thorough and high quality.","provider_quality;care_quality;psychiatry_quality","retention","positive","Medium","https://www.trustpilot.com/review/brightside.com","Strong provider-quality signal."
"Brightside Health","Trustpilot summary","2026","Not rated","Paraphrase: Review summary says patients often praise staff, convenience, quick appointment access, and mental-health improvements, but some complain about service, support response times, insurance knowledge, and cost.","provider_quality;appointment_access;support_response;insurance_knowledge;price","activation;retention;support;revenue","mixed","High","https://www.trustpilot.com/review/brightside.com","Directional aggregate review evidence."
"Brightside Health","HelpGuide","2026-03-06","Not rated","Paraphrase: Testers and survey users praised providers and organized care; most psychiatry users would recommend the service.","provider_quality;care_quality;user_experience","retention","positive","High","https://www.helpguide.org/mental-health/treatment/brightside-health-review","Strong positive care-quality evidence."
"Brightside Health","HelpGuide","2026-03-06","Not rated","Paraphrase: Brightside does not show detailed provider background information until after booking, forcing testers to research providers elsewhere.","provider_visibility;provider_selection;booking_confidence","activation","negative","High","https://www.helpguide.org/mental-health/treatment/brightside-health-review","Critical competitor workflow friction. Directly relevant to Legion's provider-card strength."
"Brightside Health","HelpGuide","2026-03-06","Not rated","Paraphrase: Questionnaire can be long; tester answered many questions and a large share of surveyed users wanted a shorter sign-up process.","questionnaire_length;intake_burden","activation","negative","High","https://www.helpguide.org/mental-health/treatment/brightside-health-review","Supports long-assessment tradeoff."
"Brightside Health","HelpGuide","2026-03-06","Not rated","Paraphrase: Brightside accepts major insurance and offers comparatively affordable out-of-pocket psychiatry, but does not prescribe controlled substances like Adderall or Xanax.","pricing;insurance;medication_limitations;controlled_substances","revenue;activation","mixed","High","https://www.helpguide.org/mental-health/treatment/brightside-health-review","Important for directness comparison vs Legion in ADHD medication use case."
